City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Cabo San Lucas,MX,2020-01-04 20:06:54,22.89,-109.91,79.0,36,5,5.82
160,Porto Novo,BR,2020-01-04 20:06:54,-23.68,-45.44,69.8,88,75,6.93
161,Khash,IR,2020-01-04 20:06:55,28.22,61.21,53.44,80,98,9.95
162,Kruisfontein,ZA,2020-01-04 20:05:29,-34.0,24.73,68.18,96,49,3.51
163,Portland,US,2020-01-04 20:04:23,43.66,-70.25,39.99,80,90,6.93
164,Swan Hill,AU,2020-01-04 20:06:55,-35.34,143.56,60.01,53,98,7.0
165,Bandarbeyla,SO,2020-01-04 20:03:48,9.49,50.81,77.4,80,57,14.81
166,Petropavlovsk-Kamchatskiy,RU,2020-01-04 20:06:56,53.05,158.65,19.4,79,40,4.47
167,Nome,US,2020-01-04 20:06:56,30.04,-94.42,69.01,32,1,8.05
168,Port Augusta,AU,2020-01-04 20:06:56,-32.49,137.76,57.99,70,100,5.01
169,Zyryanka,RU,2020-01-04 20:06:56,65.73,150.89,4.3,72,15,17.83
170,Huarmey,PE,2020-01-04 20:04:05,-10.07,-78.15,78.62,55,92,7.85
171,Batagay,RU,2020-01-04 20:06:57,67.65,134.64,-27.63,94,0,1.1
172,Toamasina,MG,2020-01-04 20:06:57,-18.17,49.38,78.8,83,75,5.82
173,Isangel,VU,2020-01-04 20:06:57,-19.55,169.27,76.89,78,5,14.47
174,Shingu,JP,2020-01-04 20:06:57,33.72,135.99,45.52,66,0,15.43
175,Illescas,ES,2020-01-04 20:06:58,40.12,-3.85,48.2,75,24,6.73
176,Mizan Teferi,ET,2020-01-04 20:06:58,6.99,35.58,63.7,87,5,2.93
177,Carnarvon,ZA,2020-01-04 20:06:58,-30.97,22.13,72.52,24,0,14.58
178,Kapit,MY,2020-01-04 20:06:58,2.02,112.94,71.11,99,100,1.1
179,Hovd,NO,2020-01-04 20:06:59,63.83,10.7,37.0,86,75,27.51
180,Saint-Francois,FR,2020-01-04 20:06:59,46.42,3.91,35.6,74,75,3.36
181,Kavieng,PG,2020-01-04 20:06:59,-2.57,150.8,83.77,77,100,12.12
182,Salamiyah,SY,2020-01-04 20:06:59,35.01,37.05,45.7,88,36,10.29
183,Trairi,BR,2020-01-04 20:07:00,-3.28,-39.27,79.65,68,97,4.43
184,Devli,IN,2020-01-04 20:07:00,28.23,77.32,62.01,76,20,0.69
185,Tuktoyaktuk,CA,2020-01-04 20:05:21,69.44,-133.03,-23.8,74,40,11.41
186,Caraballeda,VE,2020-01-04 20:07:00,10.61,-66.85,89.6,55,20,6.93
187,Beringovskiy,RU,2020-01-04 20:07:00,63.05,179.32,-8.45,75,0,17.96
188,Pacific Grove,US,2020-01-04 20:03:00,36.62,-121.92,62.01,67,1,5.82
189,Taoudenni,ML,2020-01-04 20:06:22,22.68,-3.98,58.68,23,0,10.04
190,Nyurba,RU,2020-01-04 20:07:01,63.29,118.35,-16.56,98,100,2.55
191,Fort Nelson,CA,2020-01-04 20:07:02,58.81,-122.69,-5.8,70,75,10.29
192,Fairbanks,US,2020-01-04 20:07:02,64.84,-147.72,-20.0,60,75,3.29
193,Garden City,US,2020-01-04 20:06:37,43.62,-116.24,46.99,60,90,8.05
